site,instrument,year,parameter,metric,metric_value_no TFEE adjustment,metric_value_TFEE adjusted,management_level_no TFEE adjustment,management_level_TFEE adjusted
Agassiz Municipal Hall,PM25_SHARP5030i,2019,pm25,pm25_24h,32,15,red,yellow
Burnaby Kensington Park,PM25 SHARP5030,2015,pm25,pm25_annual,6.5,6.3,orange,yellow
Burnaby Kensington Park,PM25 SHARP5030,2015,pm25,pm25_24h,15,15,yellow,yellow
Burnaby Kensington Park,PM25 SHARP5030,2016,pm25,pm25_annual,5.8,5.7,yellow,yellow
Burnaby Kensington Park,PM25 SHARP5030,2016,pm25,pm25_24h,14,13,yellow,yellow
Burnaby Kensington Park,PM25 SHARP5030,2017,pm25,pm25_annual,5.8,5.1,yellow,yellow
Burnaby Kensington Park,PM25 SHARP5030,2017,pm25,pm25_24h,24,12,orange,yellow
Burnaby Kensington Park,PM25 SHARP5030,2018,pm25,pm25_annual,5.7,4.8,yellow,yellow
Burnaby Kensington Park,PM25 SHARP5030,2018,pm25,pm25_24h,30,13,red,yellow
Burnaby Kensington Park,PM25 SHARP5030,2019,pm25,pm25_annual,5.7,4.8,yellow,yellow
Burnaby Kensington Park,PM25 SHARP5030,2019,pm25,pm25_24h,30,13,red,yellow
Burnaby South,PM25 SHARP5030,2013,pm25,pm25_annual,4.6,4.6,yellow,yellow
Burnaby South,PM25 SHARP5030,2013,pm25,pm25_24h,11,11,yellow,yellow
Burnaby South,PM25 SHARP5030,2014,pm25,pm25_annual,5.4,5.4,yellow,yellow
Burnaby South,PM25 SHARP5030,2014,pm25,pm25_24h,14,14,yellow,yellow
Burnaby South,PM25 SHARP5030,2015,pm25,pm25_annual,6.4,6.3,yellow,yellow
Burnaby South,PM25 SHARP5030,2015,pm25,pm25_24h,15,15,yellow,yellow
Burnaby South,PM25 SHARP5030,2016,pm25,pm25_annual,5.9,5.8,yellow,yellow
Burnaby South,PM25 SHARP5030,2016,pm25,pm25_24h,14,14,yellow,yellow
Burnaby South,PM25 SHARP5030,2017,pm25,pm25_annual,5.9,5.4,yellow,yellow
Burnaby South,PM25 SHARP5030,2017,pm25,pm25_24h,20,14,orange,yellow
Burnaby South,PM25 SHARP5030,2018,pm25,pm25_annual,5.7,5,yellow,yellow
Burnaby South,PM25 SHARP5030,2018,pm25,pm25_24h,23,14,orange,yellow
Burnaby South,PM25 SHARP5030,2019,pm25,pm25_annual,5.9,5.1,yellow,yellow
Burnaby South,PM25 SHARP5030,2019,pm25,pm25_24h,23,14,orange,yellow
Burns Lake Fire Centre,PM25 SHARP5030,2015,pm25,pm25_annual,7.4,7.4,orange,orange
Burns Lake Fire Centre,PM25 SHARP5030,2015,pm25,pm25_24h,22,22,orange,orange
Burns Lake Fire Centre,PM25 SHARP5030,2016,pm25,pm25_annual,7.2,7.2,orange,orange
Burns Lake Fire Centre,PM25 SHARP5030,2016,pm25,pm25_24h,20,20,orange,orange
Burns Lake Fire Centre,PM25 SHARP5030,2017,pm25,pm25_annual,7,6.9,orange,orange
Burns Lake Fire Centre,PM25 SHARP5030,2017,pm25,pm25_24h,21,19,orange,yellow
Burns Lake Fire Centre,PM25 SHARP5030,2018,pm25,pm25_annual,7,6.9,orange,orange
Burns Lake Fire Centre,PM25 SHARP5030,2018,pm25,pm25_24h,39,19,red,yellow
Burns Lake Fire Centre,PM25 SHARP5030,2019,pm25,pm25_annual,7.9,7.8,orange,orange
Burns Lake Fire Centre,PM25 SHARP5030,2019,pm25,pm25_24h,40,21,red,orange
Castlegar Zinio Park,PM25 SHARP5030,2013,pm25,pm25_annual,7.5,7.5,orange,orange
Castlegar Zinio Park,PM25 SHARP5030,2013,pm25,pm25_24h,18,18,yellow,yellow
Castlegar Zinio Park,PM25 SHARP5030,2014,pm25,pm25_annual,7.6,7.5,orange,orange
Castlegar Zinio Park,PM25 SHARP5030,2014,pm25,pm25_24h,19,19,yellow,yellow
Castlegar Zinio Park,PM25 SHARP5030,2015,pm25,pm25_annual,7.8,7.7,orange,orange
Castlegar Zinio Park,PM25 SHARP5030,2015,pm25,pm25_24h,21,20,orange,orange
Castlegar Zinio Park,PM25 SHARP5030,2016,pm25,pm25_annual,7.3,7.1,orange,orange
Castlegar Zinio Park,PM25 SHARP5030,2016,pm25,pm25_24h,19,18,yellow,yellow
Castlegar Zinio Park,PM25 SHARP5030,2018,pm25,pm25_annual,11.8,7.6,red,orange
Castlegar Zinio Park,PM25 SHARP5030,2018,pm25,pm25_24h,80,20,red,orange
Castlegar Zinio Park,PM25 SHARP5030,2019,pm25,pm25_annual,11.9,7.7,red,orange
Castlegar Zinio Park,PM25 SHARP5030,2019,pm25,pm25_24h,80,21,red,orange
Chilliwack Airport,PM25 SHARP5030,2013,pm25,pm25_annual,4.6,4.6,yellow,yellow
Chilliwack Airport,PM25 SHARP5030,2013,pm25,pm25_24h,11,11,yellow,yellow
Chilliwack Airport,PM25 SHARP5030,2014,pm25,pm25_annual,5,5,yellow,yellow
Chilliwack Airport,PM25 SHARP5030,2014,pm25,pm25_24h,13,13,yellow,yellow
Chilliwack Airport,PM25 SHARP5030,2015,pm25,pm25_annual,5.8,5.7,yellow,yellow
Chilliwack Airport,PM25 SHARP5030,2015,pm25,pm25_24h,16,15,yellow,yellow
Chilliwack Airport,PM25 SHARP5030,2016,pm25,pm25_annual,5.4,5.3,yellow,yellow
Chilliwack Airport,PM25 SHARP5030,2016,pm25,pm25_24h,15,15,yellow,yellow
Chilliwack Airport,PM25 SHARP5030,2017,pm25,pm25_annual,6,5.3,yellow,yellow
Chilliwack Airport,PM25 SHARP5030,2017,pm25,pm25_24h,27,14,orange,yellow
Chilliwack Airport,PM25 SHARP5030,2018,pm25,pm25_annual,6.4,5.2,yellow,yellow
Chilliwack Airport,PM25 SHARP5030,2018,pm25,pm25_24h,37,14,red,yellow
Chilliwack Airport,PM25 SHARP5030,2019,pm25,pm25_annual,7,5.8,orange,yellow
Chilliwack Airport,PM25 SHARP5030,2019,pm25,pm25_24h,39,16,red,yellow
Colwood City Hall,BAM1020,2013,pm25,pm25_annual,8,8,orange,orange
Colwood City Hall,BAM1020,2013,pm25,pm25_24h,19,19,yellow,yellow
Colwood City Hall,BAM1020,2014,pm25,pm25_annual,7.1,7.1,orange,orange
Colwood City Hall,BAM1020,2014,pm25,pm25_24h,19,19,yellow,yellow
Colwood City Hall,BAM1020,2015,pm25,pm25_annual,6.6,6.6,orange,orange
Colwood City Hall,BAM1020,2015,pm25,pm25_24h,20,20,orange,orange
Colwood City Hall,BAM1020,2016,pm25,pm25_annual,5.4,5.4,yellow,yellow
Colwood City Hall,BAM1020,2016,pm25,pm25_24h,17,17,yellow,yellow
Colwood City Hall,BAM1020,2017,pm25,pm25_annual,5.8,5.6,yellow,yellow
Colwood City Hall,BAM1020,2017,pm25,pm25_24h,19,17,yellow,yellow
Colwood City Hall,BAM1020,2018,pm25,pm25_annual,6.2,5.6,yellow,yellow
Colwood City Hall,BAM1020,2018,pm25,pm25_24h,23,17,orange,yellow
Colwood City Hall,BAM1020,2019,pm25,pm25_annual,7.1,6.2,orange,yellow
Colwood City Hall,BAM1020,2019,pm25,pm25_24h,28,18,red,yellow
Courtenay Elementary School,BAM1020,2014,pm25,pm25_annual,10.3,10.3,red,red
Courtenay Elementary School,BAM1020,2014,pm25,pm25_24h,32,32,red,red
Courtenay Elementary School,BAM1020,2015,pm25,pm25_24h,34,33,red,red
Courtenay Elementary School,BAM1020,2016,pm25,pm25_annual,8.5,8.4,orange,orange
Courtenay Elementary School,BAM1020,2016,pm25,pm25_24h,33,32,red,red
Courtenay Elementary School,BAM1020,2017,pm25,pm25_annual,8.8,8.5,orange,orange
Courtenay Elementary School,BAM1020,2017,pm25,pm25_24h,34,32,red,red
Courtenay Elementary School,BAM1020,2018,pm25,pm25_24h,32,31,red,red
Courtenay Elementary School,BAM1020,2018,pm25,pm25_annual,NA,8.6,NA,orange
Courtenay Elementary School,BAM1020,2019,pm25,pm25_24h,30,28,red,red
Courtenay Elementary School,BAM1020,2019,pm25,pm25_annual,NA,8.6,NA,orange
Creston PC School,PM25_R&P_TEOM,2013,pm25,pm25_annual,4.4,4.4,yellow,yellow
Creston PC School,PM25_R&P_TEOM,2013,pm25,pm25_24h,13,13,yellow,yellow
Creston PC School,PM25_R&P_TEOM,2014,pm25,pm25_annual,4.5,4.4,yellow,yellow
Creston PC School,PM25_R&P_TEOM,2014,pm25,pm25_24h,14,13,yellow,yellow
Creston PC School,PM25_R&P_TEOM,2015,pm25,pm25_annual,4.6,4.5,yellow,yellow
Creston PC School,PM25_R&P_TEOM,2015,pm25,pm25_24h,15,14,yellow,yellow
Crofton Escarpment Way,PM25_R&P_TEOM,2013,pm25,pm25_annual,3.8,3.8,green,green
Crofton Escarpment Way,PM25_R&P_TEOM,2013,pm25,pm25_24h,10,10,green,green
Crofton Escarpment Way,PM25_R&P_TEOM,2014,pm25,pm25_annual,4,4,green,green
Crofton Escarpment Way,PM25_R&P_TEOM,2014,pm25,pm25_24h,11,11,yellow,yellow
Crofton Georgia Hts,BAM1020,2016,pm25,pm25_annual,7.5,7.4,orange,orange
Crofton Georgia Hts,BAM1020,2016,pm25,pm25_24h,17,17,yellow,yellow
Crofton Georgia Hts,BAM1020,2017,pm25,pm25_annual,7.1,6.7,orange,orange
Crofton Georgia Hts,BAM1020,2017,pm25,pm25_24h,24,18,orange,yellow
Crofton Georgia Hts,BAM1020,2018,pm25,pm25_annual,6.7,5.8,orange,yellow
Crofton Georgia Hts,BAM1020,2018,pm25,pm25_24h,27,18,orange,yellow
Crofton Substation,BAM1020,2015,pm25,pm25_annual,6.5,6.5,orange,orange
Crofton Substation,BAM1020,2015,pm25,pm25_24h,16,16,yellow,yellow
Crofton Substation,BAM1020,2016,pm25,pm25_annual,5.9,5.9,yellow,yellow
Crofton Substation,BAM1020,2016,pm25,pm25_24h,14,14,yellow,yellow
Crofton Substation,BAM1020,2017,pm25,pm25_annual,5.9,5.9,yellow,yellow
Crofton Substation,BAM1020,2017,pm25,pm25_24h,20,20,orange,orange
Crofton Substation,BAM1020,2018,pm25,pm25_annual,6,6,yellow,yellow
Crofton Substation,BAM1020,2018,pm25,pm25_24h,23,23,orange,orange
Crofton Substation,BAM1020,2019,pm25,pm25_annual,6.3,6.3,yellow,yellow
Crofton Substation,BAM1020,2019,pm25,pm25_24h,23,23,orange,orange
Duncan,BAM1020,2013,pm25,pm25_24h,31,31,red,red
Duncan,BAM1020,2014,pm25,pm25_annual,8.2,8.2,orange,orange
Duncan,BAM1020,2014,pm25,pm25_24h,31,31,red,red
Duncan,BAM1020,2015,pm25,pm25_annual,7.9,7.9,orange,orange
Duncan,BAM1020,2015,pm25,pm25_24h,29,29,red,red
Duncan,BAM1020,2016,pm25,pm25_annual,7.2,7.2,orange,orange
Duncan,BAM1020,2016,pm25,pm25_24h,26,26,orange,orange
Duncan,BAM1020,2017,pm25,pm25_annual,7.6,7.4,orange,orange
Duncan,BAM1020,2017,pm25,pm25_24h,27,25,orange,orange
Duncan,BAM1020,2018,pm25,pm25_annual,7.7,7.2,orange,orange
Duncan,BAM1020,2018,pm25,pm25_24h,28,25,red,orange
Duncan,BAM1020,2019,pm25,pm25_annual,8.1,7.6,orange,orange
Duncan,BAM1020,2019,pm25,pm25_24h,27,24,orange,orange
Duncan Deykin Avenue,BAM1020,2015,pm25,pm25_annual,6.6,6.5,orange,orange
Duncan Deykin Avenue,BAM1020,2015,pm25,pm25_24h,22,22,orange,orange
Duncan Deykin Avenue,BAM1020,2016,pm25,pm25_annual,5.8,5.8,yellow,yellow
Duncan Deykin Avenue,BAM1020,2016,pm25,pm25_24h,20,20,orange,orange
Duncan Deykin Avenue,BAM1020,2017,pm25,pm25_annual,6.4,6,yellow,yellow
Duncan Deykin Avenue,BAM1020,2017,pm25,pm25_24h,26,20,orange,orange
Duncan Deykin Avenue,BAM1020,2018,pm25,pm25_annual,7,6.3,orange,yellow
Duncan Deykin Avenue,BAM1020,2018,pm25,pm25_24h,27,19,orange,yellow
Duncan Deykin Avenue,BAM1020,2019,pm25,pm25_annual,8,7.2,orange,orange
Duncan Deykin Avenue,BAM1020,2019,pm25,pm25_24h,27,20,orange,orange
Duncan Deykin Avenue,PM25_R&P_TEOM,2013,pm25,pm25_annual,3.9,3.9,green,green
Duncan Deykin Avenue,PM25_R&P_TEOM,2013,pm25,pm25_24h,11,11,yellow,yellow
Elk Falls Dogwood,BAM1020,2015,pm25,pm25_annual,8.6,NA,orange,NA
Elk Falls Dogwood,BAM1020,2015,pm25,pm25_24h,26,NA,orange,NA
Elk Falls Dogwood,BAM1020,2016,pm25,pm25_annual,8.6,NA,orange,NA
Elk Falls Dogwood,BAM1020,2016,pm25,pm25_24h,26,NA,orange,NA
Elk Falls Dogwood,BAM1020,2017,pm25,pm25_annual,8.3,NA,orange,NA
Elk Falls Dogwood,BAM1020,2017,pm25,pm25_24h,25,NA,orange,NA
Elk Falls Dogwood,BAM1020,2019,pm25,pm25_annual,7.1,7,orange,orange
Elk Falls Dogwood,BAM1020,2019,pm25,pm25_24h,20,18,orange,yellow
Elk Falls Dogwood,PM25_R&P_TEOM,2013,pm25,pm25_annual,3.7,3.7,green,green
Elk Falls Dogwood,PM25_R&P_TEOM,2013,pm25,pm25_24h,10,10,green,green
Elk Falls Dogwood,PM25_R&P_TEOM,2014,pm25,pm25_annual,3.8,3.8,green,green
Elk Falls Dogwood,PM25_R&P_TEOM,2014,pm25,pm25_24h,11,11,yellow,yellow
Fort St John Key Learning Centre,PM25 SHARP5030,2017,pm25,pm25_annual,5.8,5.6,yellow,yellow
Fort St John Key Learning Centre,PM25 SHARP5030,2017,pm25,pm25_24h,17,16,yellow,yellow
Fort St John Key Learning Centre,PM25 SHARP5030,2018,pm25,pm25_annual,6.8,5.9,orange,yellow
Fort St John Key Learning Centre,PM25 SHARP5030,2018,pm25,pm25_24h,28,18,red,yellow
Fort St John Key Learning Centre,PM25 SHARP5030,2019,pm25,pm25_annual,7.4,6.1,orange,yellow
Fort St John Key Learning Centre,PM25 SHARP5030,2019,pm25,pm25_24h,34,19,red,yellow
Golden Helipad,PM25_R&P_TEOM,2015,pm25,pm25_annual,6.5,6.5,orange,orange
Golden Helipad,PM25_R&P_TEOM,2015,pm25,pm25_24h,19,19,yellow,yellow
Golden Helipad,PM25_R&P_TEOM,2016,pm25,pm25_annual,6.5,6.5,orange,orange
Golden Helipad,PM25_R&P_TEOM,2016,pm25,pm25_24h,19,19,yellow,yellow
Golden Helipad,PM25_SHARP5030i,2015,pm25,pm25_24h,26,26,orange,orange
Golden Helipad,PM25_SHARP5030i,2016,pm25,pm25_annual,8.5,8.5,orange,orange
Golden Helipad,PM25_SHARP5030i,2016,pm25,pm25_24h,23,23,orange,orange
Golden Helipad,PM25_SHARP5030i,2017,pm25,pm25_24h,36,23,red,orange
Golden Helipad,PM25_SHARP5030i,2017,pm25,pm25_annual,NA,8.3,NA,orange
Golden Helipad,PM25_SHARP5030i,2018,pm25,pm25_annual,10.3,7.9,red,orange
Golden Helipad,PM25_SHARP5030i,2018,pm25,pm25_24h,52,20,red,orange
Golden Helipad,PM25_SHARP5030i,2019,pm25,pm25_annual,10.8,8.5,red,orange
Golden Helipad,PM25_SHARP5030i,2019,pm25,pm25_24h,54,22,red,orange
Golden Hospital,PM25_R&P_TEOM,2013,pm25,pm25_annual,5.9,5.9,yellow,yellow
Golden Hospital,PM25_R&P_TEOM,2013,pm25,pm25_24h,16,16,yellow,yellow
Grand Forks City Hall,TEOM/SHARP,2013,pm25,pm25_annual,6.2,6.2,yellow,yellow
Grand Forks City Hall,TEOM/SHARP,2013,pm25,pm25_24h,19,19,yellow,yellow
Grand Forks City Hall,TEOM/SHARP,2014,pm25,pm25_annual,6.2,6.1,yellow,yellow
Grand Forks City Hall,TEOM/SHARP,2014,pm25,pm25_24h,21,20,orange,orange
Grand Forks City Hall,TEOM/SHARP,2015,pm25,pm25_annual,6.6,5.9,orange,yellow
Grand Forks City Hall,TEOM/SHARP,2015,pm25,pm25_24h,22,19,orange,yellow
Grand Forks City Hall,TEOM/SHARP,2016,pm25,pm25_annual,5.8,5,yellow,yellow
Grand Forks City Hall,TEOM/SHARP,2016,pm25,pm25_24h,18,16,yellow,yellow
Grand Forks City Hall,TEOM/SHARP,2017,pm25,pm25_annual,5.6,4.7,yellow,yellow
Grand Forks City Hall,TEOM/SHARP,2017,pm25,pm25_24h,16,13,yellow,yellow
Grand Forks City Hall,TEOM/SHARP,2018,pm25,pm25_24h,53,19,red,yellow
Grand Forks City Hall,TEOM/SHARP,2018,pm25,pm25_annual,NA,7.1,NA,orange
Grand Forks City Hall,TEOM/SHARP,2019,pm25,pm25_annual,12.1,NA,red,NA
Grand Forks City Hall,TEOM/SHARP,2019,pm25,pm25_24h,59,NA,red,NA
Hope Airport,PM25 SHARP5030,2013,pm25,pm25_annual,4.1,4.1,yellow,yellow
Hope Airport,PM25 SHARP5030,2013,pm25,pm25_24h,11,11,yellow,yellow
Hope Airport,PM25 SHARP5030,2014,pm25,pm25_annual,4.7,4.7,yellow,yellow
Hope Airport,PM25 SHARP5030,2014,pm25,pm25_24h,14,14,yellow,yellow
Hope Airport,PM25 SHARP5030,2015,pm25,pm25_annual,5.6,5.4,yellow,yellow
Hope Airport,PM25 SHARP5030,2015,pm25,pm25_24h,17,16,yellow,yellow
Hope Airport,PM25 SHARP5030,2016,pm25,pm25_annual,5.4,5.2,yellow,yellow
Hope Airport,PM25 SHARP5030,2016,pm25,pm25_24h,16,15,yellow,yellow
Hope Airport,PM25 SHARP5030,2017,pm25,pm25_annual,6.1,5.1,yellow,yellow
Hope Airport,PM25 SHARP5030,2017,pm25,pm25_24h,32,14,red,yellow
Hope Airport,PM25 SHARP5030,2018,pm25,pm25_annual,6.7,4.9,orange,yellow
Hope Airport,PM25 SHARP5030,2018,pm25,pm25_24h,46,14,red,yellow
Hope Airport,PM25 SHARP5030,2019,pm25,pm25_annual,6.8,5,orange,yellow
Hope Airport,PM25 SHARP5030,2019,pm25,pm25_24h,45,14,red,yellow
Horseshoe Bay,PM25 SHARP5030,2013,pm25,pm25_annual,3.9,3.9,green,green
Horseshoe Bay,PM25 SHARP5030,2013,pm25,pm25_24h,9,9,green,green
Horseshoe Bay,PM25 SHARP5030,2014,pm25,pm25_annual,4.2,4.2,yellow,yellow
Horseshoe Bay,PM25 SHARP5030,2014,pm25,pm25_24h,11,11,yellow,yellow
Horseshoe Bay,PM25 SHARP5030,2015,pm25,pm25_annual,4.7,4.5,yellow,yellow
Horseshoe Bay,PM25 SHARP5030,2015,pm25,pm25_24h,12,11,yellow,yellow
Horseshoe Bay,PM25 SHARP5030,2016,pm25,pm25_annual,4.4,4.2,yellow,yellow
Horseshoe Bay,PM25 SHARP5030,2016,pm25,pm25_24h,11,10,yellow,green
Horseshoe Bay,PM25 SHARP5030,2017,pm25,pm25_annual,4.5,3.9,yellow,green
Horseshoe Bay,PM25 SHARP5030,2017,pm25,pm25_24h,20,10,orange,green
Horseshoe Bay,PM25 SHARP5030,2018,pm25,pm25_annual,4.7,3.8,yellow,green
Horseshoe Bay,PM25 SHARP5030,2018,pm25,pm25_24h,30,11,red,yellow
Horseshoe Bay,PM25 SHARP5030,2019,pm25,pm25_annual,4.8,3.9,yellow,green
Horseshoe Bay,PM25 SHARP5030,2019,pm25,pm25_24h,30,12,red,yellow
Houston Firehall,PM25 SHARP5030,2014,pm25,pm25_24h,29,29,red,red
Houston Firehall,PM25 SHARP5030,2015,pm25,pm25_24h,30,30,red,red
Houston Firehall,PM25 SHARP5030,2016,pm25,pm25_24h,29,29,red,red
Houston Firehall,PM25 SHARP5030,2017,pm25,pm25_24h,30,29,red,red
Houston Firehall,PM25 SHARP5030,2018,pm25,pm25_24h,29,28,red,red
Houston Firehall,PM25 SHARP5030,2018,pm25,pm25_annual,NA,8.8,NA,orange
Houston Firehall,PM25 SHARP5030,2019,pm25,pm25_24h,31,30,red,red
Houston Firehall,PM25_R&P_TEOM,2013,pm25,pm25_annual,5.2,5.2,yellow,yellow
Houston Firehall,PM25_R&P_TEOM,2013,pm25,pm25_24h,18,18,yellow,yellow
Houston Firehall,PM25_R&P_TEOM,2014,pm25,pm25_annual,5.5,5.5,yellow,yellow
Houston Firehall,PM25_R&P_TEOM,2014,pm25,pm25_24h,19,19,yellow,yellow
Kamloops Aberdeen,PM25 SHARP5030,2017,pm25,pm25_annual,8.2,3.8,orange,green
Kamloops Aberdeen,PM25 SHARP5030,2017,pm25,pm25_24h,83,13,red,yellow
Kamloops Aberdeen,PM25 SHARP5030,2018,pm25,pm25_annual,8.2,3.8,orange,green
Kamloops Aberdeen,PM25 SHARP5030,2018,pm25,pm25_24h,83,13,red,yellow
Kamloops Federal Building,BAM1020/SHARP,2013,pm25,pm25_annual,8.2,8.2,orange,orange
Kamloops Federal Building,BAM1020/SHARP,2013,pm25,pm25_24h,20,20,orange,orange
Kamloops Federal Building,BAM1020/SHARP,2014,pm25,pm25_annual,8.6,8.5,orange,orange
Kamloops Federal Building,BAM1020/SHARP,2014,pm25,pm25_24h,23,22,orange,orange
Kamloops Federal Building,BAM1020/SHARP,2015,pm25,pm25_annual,8.8,8.6,orange,orange
Kamloops Federal Building,BAM1020/SHARP,2015,pm25,pm25_24h,24,22,orange,orange
Kamloops Federal Building,BAM1020/SHARP,2016,pm25,pm25_annual,8.4,8.2,orange,orange
Kamloops Federal Building,BAM1020/SHARP,2016,pm25,pm25_24h,22,20,orange,orange
Kamloops Federal Building,BAM1020/SHARP,2017,pm25,pm25_annual,8.1,8,orange,orange
Kamloops Federal Building,BAM1020/SHARP,2017,pm25,pm25_24h,19,18,yellow,yellow
Kamloops Federal Building,BAM1020/SHARP,2018,pm25,pm25_annual,10.1,8,red,orange
Kamloops Federal Building,BAM1020/SHARP,2018,pm25,pm25_24h,42,20,red,orange
Kamloops Federal Building,BAM1020/SHARP,2019,pm25,pm25_24h,43,20,red,orange
Kamloops Federal Building,BAM1020/SHARP,2019,pm25,pm25_annual,NA,7.8,NA,orange
Kelowna,PM25 SHARP5030,2016,pm25,pm25_annual,7.4,6.4,orange,yellow
Kelowna,PM25 SHARP5030,2016,pm25,pm25_24h,23,16,orange,yellow
Kelowna,PM25 SHARP5030,2017,pm25,pm25_annual,8.2,6.6,orange,orange
Kelowna,PM25 SHARP5030,2017,pm25,pm25_24h,37,18,red,yellow
Kelowna,PM25 SHARP5030,2018,pm25,pm25_24h,55,19,red,yellow
Kelowna,PM25 SHARP5030,2018,pm25,pm25_annual,NA,6.5,NA,orange
Kelowna,PM25 SHARP5030,2019,pm25,pm25_annual,10.8,6.9,red,orange
Kelowna,PM25 SHARP5030,2019,pm25,pm25_24h,74,20,red,orange
Kelowna,PM25_R&P_TEOM,2013,pm25,pm25_annual,4,4,green,green
Kelowna,PM25_R&P_TEOM,2013,pm25,pm25_24h,12,12,yellow,yellow
Kelowna,PM25_R&P_TEOM,2014,pm25,pm25_annual,4.1,4.1,yellow,yellow
Kelowna,PM25_R&P_TEOM,2014,pm25,pm25_24h,13,12,yellow,yellow
Kelowna,PM25_R&P_TEOM,2015,pm25,pm25_annual,4.1,4.1,yellow,yellow
Kelowna,PM25_R&P_TEOM,2015,pm25,pm25_24h,14,13,yellow,yellow
Kitimat Haisla Village,BAM1020/TEOM,2013,pm25,pm25_annual,2.6,2.6,green,green
Kitimat Haisla Village,BAM1020/TEOM,2013,pm25,pm25_24h,10,10,green,green
Kitimat Haisla Village,BAM1020/TEOM,2014,pm25,pm25_annual,4.5,4.5,yellow,yellow
Kitimat Haisla Village,BAM1020/TEOM,2014,pm25,pm25_24h,15,15,yellow,yellow
Kitimat Haisla Village,BAM1020/TEOM,2015,pm25,pm25_annual,6,6,yellow,yellow
Kitimat Haisla Village,BAM1020/TEOM,2015,pm25,pm25_24h,17,17,yellow,yellow
Kitimat Haisla Village,BAM1020/TEOM,2016,pm25,pm25_annual,7.2,7.2,orange,orange
Kitimat Haisla Village,BAM1020/TEOM,2016,pm25,pm25_24h,18,18,yellow,yellow
