airzone,site,location,instrument,parameter,year,annual metric,annual metric (tfee-adjusted),24-hour metric,24-hour metric (tfee-adjusted),no adjustment,adjusted
Coastal,Kitimat Smeltersite Road,Kitimat-Smeltersite Road,BAM1020,pm25,2023,NA,NA,NA,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,BAM1020/TEOM,pm25,2013,2,2,7,7,green,green
Coastal,Kitimat Whitesail,Kitimat-Whitesail,BAM1020/TEOM,pm25,2014,3.4,3.4,11,11,yellow,yellow
Coastal,Kitimat Whitesail,Kitimat-Whitesail,BAM1020/TEOM,pm25,2015,4.5,4.5,12,12,yellow,yellow
Coastal,Kitimat Whitesail,Kitimat-Whitesail,BAM1020/TEOM,pm25,2016,5.4,5.4,14,14,yellow,yellow
Coastal,Kitimat Whitesail,Kitimat-Whitesail,BAM1020/TEOM,pm25,2017,NA,NA,NA,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,BAM1020/TEOM,pm25,2018,NA,NA,NA,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,BAM1020/TEOM,pm25,2019,NA,NA,NA,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,BAM1020/TEOM,pm25,2020,3.6,3.6,9,9,green,green
Coastal,Kitimat Whitesail,Kitimat-Whitesail,BAM1020/TEOM,pm25,2021,3.3,3.3,9,9,green,green
Coastal,Kitimat Whitesail,Kitimat-Whitesail,BAM1020/TEOM,pm25,2022,3.3,3.3,10,10,green,green
Coastal,Kitimat Whitesail,Kitimat-Whitesail,BAM1020/TEOM,pm25,2023,3.9,3.9,11,11,yellow,yellow
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,PM25_SHARP5030i,pm25,2013,NA,NA,NA,NA,NA,NA
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,PM25_SHARP5030i,pm25,2014,NA,NA,NA,NA,NA,NA
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,PM25_SHARP5030i,pm25,2015,NA,NA,NA,NA,NA,NA
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,PM25_SHARP5030i,pm25,2016,NA,NA,NA,NA,NA,NA
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,PM25_SHARP5030i,pm25,2017,NA,NA,NA,NA,NA,NA
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,PM25_SHARP5030i,pm25,2018,NA,NA,NA,NA,NA,NA
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,PM25_SHARP5030i,pm25,2019,NA,NA,NA,NA,NA,NA
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,PM25_SHARP5030i,pm25,2020,3.1,3.1,9,9,green,green
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,PM25_SHARP5030i,pm25,2021,2.9,2.9,8,8,green,green
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,PM25_SHARP5030i,pm25,2022,2.7,2.7,7,7,green,green
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,PM25_SHARP5030i,pm25,2023,2.6,2.6,8,8,green,green
Coastal,Rumble Beach Hospital,Rumble Beach-Hospital,BAM1020,pm25,2013,NA,NA,29,29,red,red
Coastal,Rumble Beach Hospital,Rumble Beach-Hospital,BAM1020,pm25,2014,9.2,9.2,26,26,orange,orange
Coastal,Rumble Beach Hospital,Rumble Beach-Hospital,BAM1020,pm25,2015,NA,NA,NA,NA,NA,NA
Coastal,Rumble Beach Hospital,Rumble Beach-Hospital,BAM1020,pm25,2016,NA,NA,NA,NA,NA,NA
Coastal,Rumble Beach Hospital,Rumble Beach-Hospital,BAM1020,pm25,2017,NA,NA,NA,NA,NA,NA
Coastal,Rumble Beach Hospital,Rumble Beach-Hospital,BAM1020,pm25,2018,NA,NA,NA,NA,NA,NA
Coastal,Rumble Beach Hospital,Rumble Beach-Hospital,BAM1020,pm25,2019,NA,NA,NA,NA,NA,NA
Coastal,Rumble Beach Hospital,Rumble Beach-Hospital,BAM1020,pm25,2020,NA,NA,NA,NA,NA,NA
Coastal,Rumble Beach Hospital,Rumble Beach-Hospital,BAM1020,pm25,2021,NA,NA,NA,NA,NA,NA
Coastal,Rumble Beach Hospital,Rumble Beach-Hospital,BAM1020,pm25,2022,NA,NA,NA,NA,NA,NA
Coastal,Rumble Beach Hospital,Rumble Beach-Hospital,BAM1020,pm25,2023,NA,NA,NA,NA,NA,NA
Coastal,Terrace BC Access Centre,Terrace BC Access Centre,PM25_R&P_TEOM,pm25,2013,3,3,9,9,green,green
Coastal,Terrace BC Access Centre,Terrace BC Access Centre,PM25_R&P_TEOM,pm25,2014,NA,NA,NA,NA,NA,NA
Coastal,Terrace BC Access Centre,Terrace BC Access Centre,PM25_R&P_TEOM,pm25,2015,NA,NA,NA,NA,NA,NA
Coastal,Terrace BC Access Centre,Terrace BC Access Centre,PM25_R&P_TEOM,pm25,2016,NA,NA,NA,NA,NA,NA
Coastal,Terrace BC Access Centre,Terrace BC Access Centre,PM25_R&P_TEOM,pm25,2017,NA,NA,NA,NA,NA,NA
Coastal,Terrace BC Access Centre,Terrace BC Access Centre,PM25_R&P_TEOM,pm25,2018,NA,NA,NA,NA,NA,NA
Coastal,Terrace BC Access Centre,Terrace BC Access Centre,PM25_R&P_TEOM,pm25,2019,NA,NA,NA,NA,NA,NA
Coastal,Terrace BC Access Centre,Terrace BC Access Centre,PM25_R&P_TEOM,pm25,2020,NA,NA,NA,NA,NA,NA
Coastal,Terrace BC Access Centre,Terrace BC Access Centre,PM25_R&P_TEOM,pm25,2021,NA,NA,NA,NA,NA,NA
Coastal,Terrace BC Access Centre,Terrace BC Access Centre,PM25_R&P_TEOM,pm25,2022,NA,NA,NA,NA,NA,NA
Coastal,Terrace BC Access Centre,Terrace BC Access Centre,PM25_R&P_TEOM,pm25,2023,NA,NA,NA,NA,NA,NA
Coastal,Terrace Skeena Middle School,Terrace,PM25 SHARP5030,pm25,2013,NA,NA,NA,NA,NA,NA
Coastal,Terrace Skeena Middle School,Terrace,PM25 SHARP5030,pm25,2014,NA,NA,NA,NA,NA,NA
Coastal,Terrace Skeena Middle School,Terrace,PM25 SHARP5030,pm25,2015,NA,NA,NA,NA,NA,NA
Coastal,Terrace Skeena Middle School,Terrace,PM25 SHARP5030,pm25,2016,NA,NA,NA,NA,NA,NA
Coastal,Terrace Skeena Middle School,Terrace,PM25 SHARP5030,pm25,2017,5.9,5.9,17,17,yellow,yellow
Coastal,Terrace Skeena Middle School,Terrace,PM25 SHARP5030,pm25,2018,6.3,6.2,18,18,yellow,yellow
Coastal,Terrace Skeena Middle School,Terrace,PM25 SHARP5030,pm25,2019,6.1,6.1,17,17,yellow,yellow
Coastal,Terrace Skeena Middle School,Terrace,PM25 SHARP5030,pm25,2020,5.5,5.5,15,15,yellow,yellow
Coastal,Terrace Skeena Middle School,Terrace,PM25 SHARP5030,pm25,2021,4.9,4.9,14,14,yellow,yellow
Coastal,Terrace Skeena Middle School,Terrace,PM25 SHARP5030,pm25,2022,4.8,4.8,14,14,yellow,yellow
Coastal,Terrace Skeena Middle School,Terrace,PM25 SHARP5030,pm25,2023,5,5,14,14,yellow,yellow
Georgia Strait,Colwood City Hall,Colwood,BAM1020,pm25,2013,8,8,19,19,orange,orange
Georgia Strait,Colwood City Hall,Colwood,BAM1020,pm25,2014,7.1,7.1,19,19,orange,orange
Georgia Strait,Colwood City Hall,Colwood,BAM1020,pm25,2015,6.6,6.6,20,20,orange,orange
Georgia Strait,Colwood City Hall,Colwood,BAM1020,pm25,2016,5.4,5.4,17,17,yellow,yellow
Georgia Strait,Colwood City Hall,Colwood,BAM1020,pm25,2017,5.8,5.6,19,17,yellow,yellow
Georgia Strait,Colwood City Hall,Colwood,BAM1020,pm25,2018,6.2,5.6,23,17,orange,yellow
Georgia Strait,Colwood City Hall,Colwood,BAM1020,pm25,2019,7.1,6.2,28,18,orange,yellow
Georgia Strait,Colwood City Hall,Colwood,BAM1020,pm25,2020,7.5,5.7,39,15,red,yellow
Georgia Strait,Colwood City Hall,Colwood,BAM1020,pm25,2021,6.6,5.4,29,14,red,yellow
Georgia Strait,Colwood City Hall,Colwood,BAM1020,pm25,2022,6.3,5.4,26,15,orange,yellow
Georgia Strait,Colwood City Hall,Colwood,BAM1020,pm25,2023,5.7,5.6,16,15,yellow,yellow
Georgia Strait,Courtenay Elementary School,Courtenay,BAM1020,pm25,2013,NA,NA,NA,NA,NA,NA
Georgia Strait,Courtenay Elementary School,Courtenay,BAM1020,pm25,2014,10.3,10.3,32,32,red,red
Georgia Strait,Courtenay Elementary School,Courtenay,BAM1020,pm25,2015,9.7,9.7,34,33,red,red
Georgia Strait,Courtenay Elementary School,Courtenay,BAM1020,pm25,2016,8.5,8.4,33,32,red,red
Georgia Strait,Courtenay Elementary School,Courtenay,BAM1020,pm25,2017,8.8,8.5,34,32,red,red
Georgia Strait,Courtenay Elementary School,Courtenay,BAM1020,pm25,2018,9,8.6,32,31,red,red
Georgia Strait,Courtenay Elementary School,Courtenay,BAM1020,pm25,2019,9,8.6,30,28,red,orange
Georgia Strait,Courtenay Elementary School,Courtenay,BAM1020,pm25,2020,8.3,7.4,27,24,orange,orange
Georgia Strait,Courtenay Elementary School,Courtenay,BAM1020,pm25,2021,8.3,7.4,26,24,orange,orange
Georgia Strait,Courtenay Elementary School,Courtenay,BAM1020,pm25,2022,8,7.1,24,22,orange,orange
Georgia Strait,Courtenay Elementary School,Courtenay,BAM1020,pm25,2023,6.8,6.8,19,18,orange,orange
Georgia Strait,Crofton Elementary,Crofton-Elementary,BAM1020,pm25,2013,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Elementary,Crofton-Elementary,BAM1020,pm25,2014,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Elementary,Crofton-Elementary,BAM1020,pm25,2015,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Elementary,Crofton-Elementary,BAM1020,pm25,2016,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Elementary,Crofton-Elementary,BAM1020,pm25,2017,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Elementary,Crofton-Elementary,BAM1020,pm25,2018,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Elementary,Crofton-Elementary,BAM1020,pm25,2019,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Elementary,Crofton-Elementary,BAM1020,pm25,2020,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Elementary,Crofton-Elementary,BAM1020,pm25,2021,4.4,3.2,34,10,red,green
Georgia Strait,Crofton Elementary,Crofton-Elementary,BAM1020,pm25,2022,4.4,3.5,29,12,red,yellow
Georgia Strait,Crofton Elementary,Crofton-Elementary,BAM1020,pm25,2023,3.9,3.9,14,13,yellow,yellow
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,PM25_R&P_TEOM,pm25,2013,3.8,3.8,10,10,green,green
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,PM25_R&P_TEOM,pm25,2014,4,4,11,11,yellow,yellow
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,PM25_R&P_TEOM,pm25,2015,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,PM25_R&P_TEOM,pm25,2016,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,PM25_R&P_TEOM,pm25,2017,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,PM25_R&P_TEOM,pm25,2018,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,PM25_R&P_TEOM,pm25,2019,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,PM25_R&P_TEOM,pm25,2020,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,PM25_R&P_TEOM,pm25,2021,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,PM25_R&P_TEOM,pm25,2022,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,PM25_R&P_TEOM,pm25,2023,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Georgia Hts,Crofton-Georgia Hts,BAM1020,pm25,2013,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Georgia Hts,Crofton-Georgia Hts,BAM1020,pm25,2014,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Georgia Hts,Crofton-Georgia Hts,BAM1020,pm25,2015,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Georgia Hts,Crofton-Georgia Hts,BAM1020,pm25,2016,7.5,7.4,17,17,orange,orange
Georgia Strait,Crofton Georgia Hts,Crofton-Georgia Hts,BAM1020,pm25,2017,7.1,6.7,24,18,orange,orange
Georgia Strait,Crofton Georgia Hts,Crofton-Georgia Hts,BAM1020,pm25,2018,6.7,5.8,27,18,orange,yellow
Georgia Strait,Crofton Georgia Hts,Crofton-Georgia Hts,BAM1020,pm25,2019,7.1,5.8,34,20,red,orange
Georgia Strait,Crofton Georgia Hts,Crofton-Georgia Hts,BAM1020,pm25,2020,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Georgia Hts,Crofton-Georgia Hts,BAM1020,pm25,2021,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Georgia Hts,Crofton-Georgia Hts,BAM1020,pm25,2022,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Georgia Hts,Crofton-Georgia Hts,BAM1020,pm25,2023,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Substation,Crofton-Substation,BAM1020,pm25,2013,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Substation,Crofton-Substation,BAM1020,pm25,2014,NA,NA,NA,NA,NA,NA
Georgia Strait,Crofton Substation,Crofton-Substation,BAM1020,pm25,2015,6.5,6.5,16,16,orange,orange
Georgia Strait,Crofton Substation,Crofton-Substation,BAM1020,pm25,2016,5.9,5.9,14,14,yellow,yellow
Georgia Strait,Crofton Substation,Crofton-Substation,BAM1020,pm25,2017,5.9,5.9,20,20,orange,orange
Georgia Strait,Crofton Substation,Crofton-Substation,BAM1020,pm25,2018,6,6,23,23,orange,orange
Georgia Strait,Crofton Substation,Crofton-Substation,BAM1020,pm25,2019,6.3,6.3,23,23,orange,orange
Georgia Strait,Crofton Substation,Crofton-Substation,BAM1020,pm25,2020,6.3,5.6,26,16,orange,yellow
Georgia Strait,Crofton Substation,Crofton-Substation,BAM1020,pm25,2021,5.4,4.7,22,12,orange,yellow
Georgia Strait,Crofton Substation,Crofton-Substation,BAM1020,pm25,2022,5.2,4.4,23,13,orange,yellow
Georgia Strait,Crofton Substation,Crofton-Substation,BAM1020,pm25,2023,4.4,4.4,14,13,yellow,yellow
Georgia Strait,Duncan,Duncan-Cairnsmore,BAM1020,pm25,2013,9.3,9.3,31,31,red,red
Georgia Strait,Duncan,Duncan-Cairnsmore,BAM1020,pm25,2014,8.2,8.2,31,31,red,red
Georgia Strait,Duncan,Duncan-Cairnsmore,BAM1020,pm25,2015,7.9,7.9,29,29,red,red
Georgia Strait,Duncan,Duncan-Cairnsmore,BAM1020,pm25,2016,7.2,7.2,26,26,orange,orange
Georgia Strait,Duncan,Duncan-Cairnsmore,BAM1020,pm25,2017,7.6,7.4,27,25,orange,orange
Georgia Strait,Duncan,Duncan-Cairnsmore,BAM1020,pm25,2018,7.7,7.2,28,25,orange,orange
Georgia Strait,Duncan,Duncan-Cairnsmore,BAM1020,pm25,2019,8.1,7.6,27,24,orange,orange
Georgia Strait,Duncan,Duncan-Cairnsmore,BAM1020,pm25,2020,7.8,6.9,28,22,red,orange
Georgia Strait,Duncan,Duncan-Cairnsmore,BAM1020,pm25,2021,7.4,6.8,25,21,orange,orange
Georgia Strait,Duncan,Duncan-Cairnsmore,BAM1020,pm25,2022,7.7,7,26,21,orange,orange
Georgia Strait,Duncan,Duncan-Cairnsmore,BAM1020,pm25,2023,8,7.9,22,21,orange,orange
Georgia Strait,Duncan Deykin Avenue,Duncan-Deykin,BAM1020,pm25,2013,NA,NA,NA,NA,NA,NA
Georgia Strait,Duncan Deykin Avenue,Duncan-Deykin,BAM1020,pm25,2014,NA,NA,NA,NA,NA,NA
Georgia Strait,Duncan Deykin Avenue,Duncan-Deykin,BAM1020,pm25,2015,6.6,6.5,22,22,orange,orange
Georgia Strait,Duncan Deykin Avenue,Duncan-Deykin,BAM1020,pm25,2016,5.8,5.8,20,20,orange,orange
Georgia Strait,Duncan Deykin Avenue,Duncan-Deykin,BAM1020,pm25,2017,6.4,6,26,20,orange,orange
Georgia Strait,Duncan Deykin Avenue,Duncan-Deykin,BAM1020,pm25,2018,7,6.3,27,19,orange,yellow
Georgia Strait,Duncan Deykin Avenue,Duncan-Deykin,BAM1020,pm25,2019,8,7.2,27,20,orange,orange
Georgia Strait,Duncan Deykin Avenue,Duncan-Deykin,BAM1020,pm25,2020,8,6.9,28,18,red,orange
Georgia Strait,Duncan Deykin Avenue,Duncan-Deykin,BAM1020,pm25,2021,6.7,6,24,15,orange,yellow
Georgia Strait,Duncan Deykin Avenue,Duncan-Deykin,BAM1020,pm25,2022,6.2,5.5,23,15,orange,yellow
Georgia Strait,Duncan Deykin Avenue,Duncan-Deykin,BAM1020,pm25,2023,5,4.9,15,15,yellow,yellow
Georgia Strait,Duncan Deykin Avenue,Duncan-Deykin,PM25_R&P_TEOM,pm25,2013,3.9,3.9,11,11,yellow,yellow
Georgia Strait,Duncan Deykin Avenue,Duncan-Deykin,PM25_R&P_TEOM,pm25,2014,NA,NA,NA,NA,NA,NA
Georgia Strait,Duncan Deykin Avenue,Duncan-Deykin,PM25_R&P_TEOM,pm25,2015,NA,NA,NA,NA,NA,NA
Georgia Strait,Duncan Deykin Avenue,Duncan-Deykin,PM25_R&P_TEOM,pm25,2016,NA,NA,NA,NA,NA,NA
Georgia Strait,Duncan Deykin Avenue,Duncan-Deykin,PM25_R&P_TEOM,pm25,2017,NA,NA,NA,NA,NA,NA
Georgia Strait,Duncan Deykin Avenue,Duncan-Deykin,PM25_R&P_TEOM,pm25,2018,NA,NA,NA,NA,NA,NA
Georgia Strait,Duncan Deykin Avenue,Duncan-Deykin,PM25_R&P_TEOM,pm25,2019,NA,NA,NA,NA,NA,NA
Georgia Strait,Duncan Deykin Avenue,Duncan-Deykin,PM25_R&P_TEOM,pm25,2020,NA,NA,NA,NA,NA,NA
Georgia Strait,Duncan Deykin Avenue,Duncan-Deykin,PM25_R&P_TEOM,pm25,2021,NA,NA,NA,NA,NA,NA
Georgia Strait,Duncan Deykin Avenue,Duncan-Deykin,PM25_R&P_TEOM,pm25,2022,NA,NA,NA,NA,NA,NA
Georgia Strait,Duncan Deykin Avenue,Duncan-Deykin,PM25_R&P_TEOM,pm25,2023,NA,NA,NA,NA,NA,NA
Georgia Strait,Elk Falls Dogwood,Campbell River,BAM1020,pm25,2013,NA,NA,NA,NA,NA,NA
Georgia Strait,Elk Falls Dogwood,Campbell River,BAM1020,pm25,2014,NA,NA,NA,NA,NA,NA
Georgia Strait,Elk Falls Dogwood,Campbell River,BAM1020,pm25,2015,8.6,8.5,26,26,orange,orange
Georgia Strait,Elk Falls Dogwood,Campbell River,BAM1020,pm25,2016,8.6,8.5,26,26,orange,orange
Georgia Strait,Elk Falls Dogwood,Campbell River,BAM1020,pm25,2017,8.3,8,25,22,orange,orange
Georgia Strait,Elk Falls Dogwood,Campbell River,BAM1020,pm25,2018,NA,NA,NA,NA,NA,NA
Georgia Strait,Elk Falls Dogwood,Campbell River,BAM1020,pm25,2019,7.2,7,20,18,orange,orange
Georgia Strait,Elk Falls Dogwood,Campbell River,BAM1020,pm25,2020,7.3,6.4,23,16,orange,yellow
Georgia Strait,Elk Falls Dogwood,Campbell River,BAM1020,pm25,2021,6.9,6.4,20,16,orange,yellow
Georgia Strait,Elk Falls Dogwood,Campbell River,BAM1020,pm25,2022,7.2,6.4,23,16,orange,yellow
Georgia Strait,Elk Falls Dogwood,Campbell River,BAM1020,pm25,2023,5,5,14,14,yellow,yellow
Georgia Strait,Elk Falls Dogwood,Campbell River,PM25_R&P_TEOM,pm25,2013,3.7,3.7,10,10,green,green
Georgia Strait,Elk Falls Dogwood,Campbell River,PM25_R&P_TEOM,pm25,2014,3.8,3.8,11,11,yellow,yellow
Georgia Strait,Elk Falls Dogwood,Campbell River,PM25_R&P_TEOM,pm25,2015,NA,NA,NA,NA,NA,NA
Georgia Strait,Elk Falls Dogwood,Campbell River,PM25_R&P_TEOM,pm25,2016,NA,NA,NA,NA,NA,NA
Georgia Strait,Elk Falls Dogwood,Campbell River,PM25_R&P_TEOM,pm25,2017,NA,NA,NA,NA,NA,NA
Georgia Strait,Elk Falls Dogwood,Campbell River,PM25_R&P_TEOM,pm25,2018,NA,NA,NA,NA,NA,NA
Georgia Strait,Elk Falls Dogwood,Campbell River,PM25_R&P_TEOM,pm25,2019,NA,NA,NA,NA,NA,NA
Georgia Strait,Elk Falls Dogwood,Campbell River,PM25_R&P_TEOM,pm25,2020,NA,NA,NA,NA,NA,NA
Georgia Strait,Elk Falls Dogwood,Campbell River,PM25_R&P_TEOM,pm25,2021,NA,NA,NA,NA,NA,NA
Georgia Strait,Elk Falls Dogwood,Campbell River,PM25_R&P_TEOM,pm25,2022,NA,NA,NA,NA,NA,NA
Georgia Strait,Elk Falls Dogwood,Campbell River,PM25_R&P_TEOM,pm25,2023,NA,NA,NA,NA,NA,NA
Georgia Strait,Langdale Elementary,Langdale,BAM1020,pm25,2013,5.7,5.7,14,14,yellow,yellow
Georgia Strait,Langdale Elementary,Langdale,BAM1020,pm25,2014,5.8,5.8,15,15,yellow,yellow
Georgia Strait,Langdale Elementary,Langdale,BAM1020,pm25,2015,6.1,5.9,15,14,yellow,yellow
Georgia Strait,Langdale Elementary,Langdale,BAM1020,pm25,2016,6.1,5.8,15,14,yellow,yellow
Georgia Strait,Langdale Elementary,Langdale,BAM1020,pm25,2017,7.8,6.7,36,15,red,orange
Georgia Strait,Langdale Elementary,Langdale,BAM1020,pm25,2018,9.2,7.7,48,19,red,orange
Georgia Strait,Langdale Elementary,Langdale,BAM1020,pm25,2019,7.3,6.3,35,16,red,yellow
Georgia Strait,Langdale Elementary,Langdale,BAM1020,pm25,2020,6.3,5.2,33,14,red,yellow
Georgia Strait,Langdale Elementary,Langdale,BAM1020,pm25,2021,5,3.9,31,11,red,yellow
Georgia Strait,Langdale Elementary,Langdale,BAM1020,pm25,2022,NA,NA,NA,NA,NA,NA
Georgia Strait,Langdale Elementary,Langdale,BAM1020,pm25,2023,NA,NA,NA,NA,NA,NA
Georgia Strait,Langdale Elementary,Langdale,PM25_T640,pm25,2013,NA,NA,NA,NA,NA,NA
Georgia Strait,Langdale Elementary,Langdale,PM25_T640,pm25,2014,NA,NA,NA,NA,NA,NA
Georgia Strait,Langdale Elementary,Langdale,PM25_T640,pm25,2015,NA,NA,NA,NA,NA,NA
Georgia Strait,Langdale Elementary,Langdale,PM25_T640,pm25,2016,NA,NA,NA,NA,NA,NA
Georgia Strait,Langdale Elementary,Langdale,PM25_T640,pm25,2017,NA,NA,NA,NA,NA,NA
Georgia Strait,Langdale Elementary,Langdale,PM25_T640,pm25,2018,NA,NA,NA,NA,NA,NA
Georgia Strait,Langdale Elementary,Langdale,PM25_T640,pm25,2019,NA,NA,NA,NA,NA,NA
Georgia Strait,Langdale Elementary,Langdale,PM25_T640,pm25,2020,NA,NA,NA,NA,NA,NA
Georgia Strait,Langdale Elementary,Langdale,PM25_T640,pm25,2021,NA,NA,NA,NA,NA,NA
Georgia Strait,Langdale Elementary,Langdale,PM25_T640,pm25,2022,NA,NA,NA,NA,NA,NA
Georgia Strait,Langdale Elementary,Langdale,PM25_T640,pm25,2023,6,5.6,20,17,orange,yellow
Georgia Strait,Nanaimo Labieux Road,Nanaimo,BAM1020,pm25,2013,NA,NA,NA,NA,NA,NA
Georgia Strait,Nanaimo Labieux Road,Nanaimo,BAM1020,pm25,2014,NA,NA,NA,NA,NA,NA
Georgia Strait,Nanaimo Labieux Road,Nanaimo,BAM1020,pm25,2015,4.8,4.6,15,14,yellow,yellow
Georgia Strait,Nanaimo Labieux Road,Nanaimo,BAM1020,pm25,2016,4.5,4.3,13,13,yellow,yellow
Georgia Strait,Nanaimo Labieux Road,Nanaimo,BAM1020,pm25,2017,4.6,4.1,20,12,orange,yellow
Georgia Strait,Nanaimo Labieux Road,Nanaimo,BAM1020,pm25,2018,5,4.2,21,12,orange,yellow
Georgia Strait,Nanaimo Labieux Road,Nanaimo,BAM1020,pm25,2019,5.1,4.3,22,13,orange,yellow
Georgia Strait,Nanaimo Labieux Road,Nanaimo,BAM1020,pm25,2020,5.3,4.1,23,11,orange,yellow
Georgia Strait,Nanaimo Labieux Road,Nanaimo,BAM1020,pm25,2021,5.4,4.7,22,11,orange,yellow
Georgia Strait,Nanaimo Labieux Road,Nanaimo,BAM1020,pm25,2022,5.8,5.1,24,12,orange,yellow
Georgia Strait,Nanaimo Labieux Road,Nanaimo,BAM1020,pm25,2023,5,5,14,13,yellow,yellow
Georgia Strait,Nanaimo Labieux Road,Nanaimo,PM25_R&P_TEOM,pm25,2013,3.4,3.4,9,9,green,green
Georgia Strait,Nanaimo Labieux Road,Nanaimo,PM25_R&P_TEOM,pm25,2014,3.6,3.6,10,10,green,green
Georgia Strait,Nanaimo Labieux Road,Nanaimo,PM25_R&P_TEOM,pm25,2015,NA,NA,NA,NA,NA,NA
Georgia Strait,Nanaimo Labieux Road,Nanaimo,PM25_R&P_TEOM,pm25,2016,NA,NA,NA,NA,NA,NA
Georgia Strait,Nanaimo Labieux Road,Nanaimo,PM25_R&P_TEOM,pm25,2017,NA,NA,NA,NA,NA,NA
Georgia Strait,Nanaimo Labieux Road,Nanaimo,PM25_R&P_TEOM,pm25,2018,NA,NA,NA,NA,NA,NA
Georgia Strait,Nanaimo Labieux Road,Nanaimo,PM25_R&P_TEOM,pm25,2019,NA,NA,NA,NA,NA,NA
Georgia Strait,Nanaimo Labieux Road,Nanaimo,PM25_R&P_TEOM,pm25,2020,NA,NA,NA,NA,NA,NA
Georgia Strait,Nanaimo Labieux Road,Nanaimo,PM25_R&P_TEOM,pm25,2021,NA,NA,NA,NA,NA,NA
Georgia Strait,Nanaimo Labieux Road,Nanaimo,PM25_R&P_TEOM,pm25,2022,NA,NA,NA,NA,NA,NA
Georgia Strait,Nanaimo Labieux Road,Nanaimo,PM25_R&P_TEOM,pm25,2023,NA,NA,NA,NA,NA,NA
Georgia Strait,Port Alberni Elementary,Port Alberni-Elem.School,BAM1020,pm25,2013,7.4,7.4,24,24,orange,orange
Georgia Strait,Port Alberni Elementary,Port Alberni-Elem.School,BAM1020,pm25,2014,7.5,7.5,28,28,orange,orange
Georgia Strait,Port Alberni Elementary,Port Alberni-Elem.School,BAM1020,pm25,2015,8.3,8.1,32,31,red,red
Georgia Strait,Port Alberni Elementary,Port Alberni-Elem.School,BAM1020,pm25,2016,7.9,7.8,30,29,red,red
Georgia Strait,Port Alberni Elementary,Port Alberni-Elem.School,BAM1020,pm25,2017,8.5,8.3,29,27,red,orange
Georgia Strait,Port Alberni Elementary,Port Alberni-Elem.School,BAM1020,pm25,2018,9.1,8.7,28,27,orange,orange
Georgia Strait,Port Alberni Elementary,Port Alberni-Elem.School,BAM1020,pm25,2019,9.7,9.3,28,27,orange,orange
Georgia Strait,Port Alberni Elementary,Port Alberni-Elem.School,BAM1020,pm25,2020,9.4,8.6,26,23,red,orange
