NPRI_ID,year,Company,Facility,parameter,metric,metric_unit,province,latitude,longitude,sector,airzone
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Phosphorus (total),0.0155,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Dioxins and furans - total,0.00537,g TEQ,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Total particulate matter,11.1247,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Total particulate matter,567.01674,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,PM10 - Particulate Matter <= 10 Micrometers,3.17105,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,PM10 - Particulate Matter <= 10 Micrometers,494.99754,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,pm25,0.31711,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,pm25,428.49436,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Total reduced sulphur (expressed as hydrogen sulphide),41.75752,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Volatile Organic Compounds (VOCs),0.75733,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,Volatile Organic Compounds (VOCs),114.79057,tonnes,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,"PAHs, total unspeciated",4.63623,kg,BC,52.998,-122.483,14,Central Interior
479,2021,Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Company,"PAHs, total unspeciated",6.59306,kg,BC,52.998,-122.483,14,Central Interior
508,2021,Kemira Chemicals Canada Inc.,KEMIRA CHEMCIALS CANADA INC. - DELTA,no2,3.208,tonnes,BC,49.1706,-122.9372,3,Lower Fraser Valley
508,2021,Kemira Chemicals Canada Inc.,KEMIRA CHEMCIALS CANADA INC. - DELTA,so2,0.066,tonnes,BC,49.1706,-122.9372,3,Lower Fraser Valley
508,2021,Kemira Chemicals Canada Inc.,KEMIRA CHEMCIALS CANADA INC. - DELTA,Total particulate matter,0.707,tonnes,BC,49.1706,-122.9372,3,Lower Fraser Valley
508,2021,Kemira Chemicals Canada Inc.,KEMIRA CHEMCIALS CANADA INC. - DELTA,Volatile Organic Compounds (VOCs),0.176,tonnes,BC,49.1706,-122.9372,3,Lower Fraser Valley
618,2021,Louisiana Pacific Canada Ltd.,Golden EWP Division,no2,43.557,tonnes,BC,51.3138,-116.9804,19,Southern Interior
